Source: IEA. All Rights Reserved
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: PJ
,World,OECD,PR of China,India,United States,Japan,Russian Federation,South Africa,Indonesia,EU27,Rest of the world
1978,70160.21492,37149.40009,12853.31012,1600.937083,14741.83186,1969.124174,0,1765.181809,4.394398291,0,37225.43547
1979,72942.84338,39206.50326,13171.38588,1754.340342,15260.18855,2172.820921,0,1862.455593,5.30500217,0,38716.34708
1980,74404.01986,40637.59201,13092.68778,1855.141869,15873.15362,2540.958051,0,1996.339647,5.663199658,0,39040.0757
1981,74877.9474,40992.756,13035.46449,2092.322066,16141.70048,2841.987104,0,2252.853265,6.543398995,0,38507.07659
1982,76340.52001,40887.52277,13764.75467,2252.129124,15568.47138,2791.271591,0,2540.398397,7.065199879,0,39416.42964
1983,77703.26039,41199.98007,14590.46052,2376.765827,16137.47035,2664.719022,0,2619.963118,6.443401464,0,39307.43815
1984,80627.32226,42280.02962,16068.1502,2583.792335,17155.2775,3008.006473,0,2821.729285,7.29099819,0,38983.07546
1985,83539.03487,44386.94464,16392.95039,2734.515544,17794.37268,3148.705452,0,2827.765139,21.53939872,0,40619.18626
1986,84439.17334,43724.44165,17091.89114,2956.733325,17293.10757,3007.705123,0,2948.74723,65.9918015,,41074.99715
1987,87688.62327,44992.49965,18260.02278,3198.586201,18244.15126,2928.57601,0,3065.767934,85.59939814,,41905.91969
1988,90282.48199,45834.17016,19546.9957,3408.949572,18973.34816,3228.477834,0,3111.748385,99.8357993,,41913.12654
1989,90161.49372,45819.26375,19907.44891,3645.197436,19204.52886,3201.136075,0,2906.413297,123.6356011,,41173.13354
1990,92198.98534,45041.47685,21893.92471,3876.714911,19236.05375,3269.39242,7912.948846,2785.859219,147.2492033,16004.8442,17071.99807
1991,89963.36137,44328.18426,21006.84565,4188.010211,19021.84809,3376.335936,7534.318267,2936.71028,135.8535041,15151.78744,16611.65199
1992,88313.77001,43183.66952,21680.07399,4406.702853,19231.59885,3272.575992,6586.263311,2715.677121,158.6341006,14145.92559,16116.3182
1993,88762.58558,42705.06285,23179.15052,4625.09306,19739.32209,3292.241529,5941.042095,3049.814957,264.3751008,13362.24487,15309.30135
1994,89546.64548,42656.36259,24872.85244,4865.768512,19843.89726,3475.896977,5583.766084,3142.354629,239.5432989,13023.3166,14499.24967
1995,92151.25598,42658.35022,27478.39637,5129.635076,19792.81892,3599.169846,5386.020376,3269.687393,265.0303978,12922.2764,14308.2212
1996,93507.51601,43752.96105,27942.72321,5332.305867,20541.71057,3653.825606,5438.686766,3312.15977,368.6911027,12938.23855,13979.17456
1997,92773.96325,44343.25084,27007.22343,5529.111836,21069.6659,3742.676507,4925.446359,3407.34259,292.7212022,12556.10747,14243.66794
1998,92582.34512,43955.80519,27493.10109,5519.005989,21141.13698,3549.615966,4650.39172,3351.125828,289.5083021,11980.67786,14607.78139
1999,92923.1817,43611.98328,27521.82709,5878.440446,21329.23003,3730.290725,5005.701605,3433.063714,373.2683009,11325.02787,14326.33192
2000,96529.85585,45680.63403,28166.80028,6041.423991,22252.91577,4076.881419,5035.716954,3423.858025,502.7977022,11501.95074,15527.51097
2001,98145.37755,45481.80295,29661.05928,6174.513721,21918.16679,4187.266657,4870.238934,3422.363438,601.5529052,11455.08458,15855.13124
2002,101426.4065,45943.54719,32057.59697,6390.885289,22228.57603,4349.651657,4924.495659,3294.038985,642.4521006,11420.79667,16117.91315
2003,109346.7314,46708.80285,38211.00448,6539.270572,22181.50569,4497.968117,4985.082197,3639.211581,646.9165985,11761.83784,16883.93436
2004,117982.4865,47837.08249,44174.59595,7253.264266,22943.11706,4894.757027,4870.437187,3939.845877,854.8213969,11792.37401,17259.27373
2005,125038.5068,47795.16375,50768.03877,7643.64934,23292.64703,4626.200105,4778.334378,3849.238111,926.4143999,11434.04522,17719.93941
2006,132524.2344,48337.69818,56461.65094,8092.081272,22947.11403,4674.98371,4881.619954,3918.632131,1109.274996,11770.54091,18668.33647
2007,139678.9508,48858.29384,61858.16012,8826.964971,23152.20839,4879.267216,4725.348976,4039.589508,1188.911198,11811.13911,19197.36135
2008,141268.8498,47632.06179,62958.5511,9762.660091,22764.16632,4823.950004,4968.244185,4417.997227,1079.600402,10972.9761,19520.7044
2009,141096.2508,43198.74497,67809.09761,10840.88354,20295.01698,4285.578984,4010.976435,4339.527372,1277.511598,9743.963002,18493.69527
2010,152534.2024,45518.94209,74949.10258,11660.86082,21001.26443,4850.689756,4477.818485,4213.276687,1333.046,10215.07922,19833.06438
2011,160071.5641,44684.22971,81629.88301,12307.50488,20001.52329,4558.947218,4561.390731,4126.99976,1750.9472,10488.87471,20645.49329
2012,160852.1855,42844.50024,82899.39611,13615.4313,17729.69985,4765.649011,4828.638931,4068.505722,1568.070087,10483.37501,20893.41946
2013,163643.1523,43098.35146,85478.35409,14328.5962,18120.24841,5099.841011,4485.200513,4016.845278,1195.075863,10249.49701,20669.4939
2014,165206.7303,42221.02769,85792.87503,15992.34323,18092.88516,4891.947404,4357.200688,4275.37579,1511.66417,9743.374464,20549.06439
2015,160657.4701,39668.99193,83920.43173,15698.34485,15694.90648,4986.033877,4910.916401,3965.08384,1661.60456,9820.183035,19999.96536
2016,155437.2282,37603.9642,80532.19804,15423.84473,14299.2538,4936.334556,4743.238113,4131.712426,1813.420319,9443.445145,20113.78105
2017,158115.6752,36986.19262,81795.13853,16369.49169,13877.24189,4976.735882,4724.339609,4130.415778,2025.488082,9217.450072,20999.37363
2018,162228.3413,35794.80051,84716.82002,17321.24876,13447.71833,4899.979906,4980.457734,4146.403656,2327.560079,8873.803712,21514.34907
2019,162209.3234,32073.52744,86940.21362,17414.52287,11534.84352,4854.616899,5291.634271,4249.659753,2878.786593,7148.826353,21896.2195
2020,157163.93,27834.12593,87638.04994,16530.61057,9421.229997,4753.68765,5014.172602,3928.912095,3404.619298,5841.457156,20631.19068
